Z,	X 
-0.1,	3.1480961923847697 
-0.1,	3.181963927855711 
-0.1,	3.215831663326653 
-0.1,	3.249699398797595 
-0.1,	3.283567134268537 
-0.1,	3.3174348697394787 
-0.1,	3.3513026052104204 
-0.1,	3.3851703406813627 
-0.1,	3.4190380761523045 
-0.1,	3.4529058116232463 
-0.1,	3.486773547094188 
-0.1,	3.5206412825651303 
-0.1,	3.554509018036072 
-0.1,	3.588376753507014 
-0.1,	3.6222444889779553 
-0.1,	3.6561122244488975 
-0.1,	3.6899799599198393 
-0.1,	3.723847695390781 
-0.1,	3.7577154308617233 
-0.1,	3.791583166332665 
-0.1,	3.825450901803607 
-0.1,	3.8593186372745487 
-0.1,	3.893186372745491 
-0.1,	3.9270541082164327 
-0.1,	3.9609218436873745 
-0.1,	3.9947895791583163 
-0.1,	4.028657314629259 
-0.1,	4.0625250501002 
-0.1,	4.096392785571141 
-0.1,	4.130260521042083 
-0.1,	4.164128256513025 
-0.1,	4.197995991983967 
-0.1,	4.231863727454909 
-0.1,	4.265731462925851 
-0.1,	4.299599198396793 
-0.1,	4.333466933867735 
-0.1,	4.3673346693386765 
-0.1,	4.401202404809618 
-0.1,	4.43507014028056 
-0.1,	4.468937875751502 
-0.1,	4.502805611222444 
-0.1,	4.5366733466933855 
-0.1,	4.570541082164327 
-0.1,	4.60440881763527 
-0.1,	4.638276553106212 
-0.1,	4.672144288577154 
-0.1,	4.706012024048095 
-0.1,	4.739879759519037 
-0.1,	4.773747494989979 
-0.1,	4.807615230460921 
-0.1,	4.8414829659318634 
-0.1,	4.875350701402805 
-0.1,	4.909218436873747 
-0.1,	4.943086172344689 
-0.1,	4.976953907815631 
-0.1,	5.010821643286572 
-0.1,	5.044689378757514 
-0.1,	5.078557114228456 
-0.1,	5.112424849699399 
-0.1,	5.1462925851703405 
-0.1,	5.180160320641282 
-0.1,	5.214028056112224 
-0.1,	5.247895791583166 
-0.1,	5.281763527054107 
-0.1,	5.315631262525049 
-0.1,	5.34949899799599 
-0.1,	5.383366733466933 
-0.1,	5.417234468937875 
-0.1,	5.451102204408817 
-0.1,	5.4849699398797584 
-0.1,	5.5188376753507 
-0.1,	5.552705410821642 
-0.1,	5.586573146292584 
-0.1,	5.6204408817635265 
-0.1,	5.654308617234468 
-0.1,	5.68817635270541 
-0.1,	5.722044088176352 
-0.1,	5.755911823647294 
-0.1,	5.7897795591182355 
-0.1,	5.823647294589177 
-0.1,	5.857515030060119 
-0.1,	5.891382765531062 
-0.1,	5.925250501002004 
-0.1,	5.959118236472945 
-0.1,	5.992985971943887 
-0.1,	6.026853707414829 
-0.1,	6.060721442885771 
-0.1,	6.0945891783567125 
-0.1,	6.128456913827655 
-0.1,	6.162324649298597 
-0.1,	6.196192384769539 
-0.1,	6.23006012024048 
-0.1,	6.2639278557114215 
-0.1,	6.297795591182363 
-0.1,	6.331663326653305 
-0.1,	6.365531062124247 
-0.1,	6.39939879759519 
-0.1,	6.433266533066131 
-0.1,	6.467134268537073 
